filename,duration,total_frames
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-13-12.avi,16.6,415
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-50-31.avi,12.7,381
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-12-02.avi,18.0,450
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-51-03.avi,14.0,420
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-35-49.avi,24.7,741
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-08-03.avi,22.88,572
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-32-38.avi,34.3,1029
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-33-57.avi,31.766666666666666,953
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-46-36.avi,31.1,933
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-34-48.avi,27.5,825
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-48-59.avi,16.633333333333333,499
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-21-00-15.avi,69.33333333333333,2080
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-18-09.avi,15.76,394
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-52-08.avi,16.133333333333333,484
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-47-25.avi,14.166666666666666,425
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-31-17.avi,47.93333333333333,1438
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-52-41.avi,15.633333333333333,469
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-48-43.avi,46.03333333333333,1381
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-21-18-42.avi,147.06666666666666,4412
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-15-53.avi,18.16,454
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-11-18.avi,17.8,445
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-16-56.avi,15.52,388
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-17-35.avi,16.56,414
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-12-36.avi,18.4,460
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-21-09-16.avi,145.0,4350
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-53-15.avi,17.9,537
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-47-34.avi,37.96666666666667,1139
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/29-08-2023-20-45-24.avi,31.233333333333334,937
