filename,duration,total_frames
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-50-31.avi,12.7,381
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-51-03.avi,14.0,420
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-48-59.avi,16.633333333333333,499
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-52-08.avi,16.133333333333333,484
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-47-25.avi,14.166666666666666,425
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-52-41.avi,15.633333333333333,469
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-53-15.avi,17.9,537
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-48-18.avi,16.966666666666665,509
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-49-49.avi,16.766666666666666,503
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/14-08-2023-14-10-12.avi,22.12,553
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/oxygen-bvm/19-10-2023-12-51-35.avi,16.9,507
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-59-03.avi,11.033333333333331,331
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-54-45.avi,15.166666666666666,455
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-58-26.avi,10.566666666666666,317
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-00-18.avi,11.166666666666666,335
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-55-33.avi,12.766666666666667,383
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-01-32.avi,10.133333333333333,304
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-02-12.avi,11.9,357
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-57-39.avi,12.1,363
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-00-55.avi,11.166666666666666,335
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-59-41.avi,11.533333333333331,346
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-56-28.avi,11.6,348
