filepath,duration_minutes,subject,trial,scenario
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_1/chest_pain/0/GoPro/GX010437_synced_720p.mp4,11.79,cars_1,0,chest_pain
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_1/stroke/0/GoPro/GX010015_synced_720p.mp4,36.0,cars_1,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_2/stroke/0/GoPro/GX010012_synced_720p.mp4,20.96,cars_2,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_3/stroke/0/GoPro/GX010006_synced_720p.mp4,20.96,cars_3,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_4/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,20.96,cars_4,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_5/stroke/0/GoPro/GX010015_synced_720p.mp4,36.0,cars_5,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_6/stroke/0/GoPro/GX010008_synced_720p.mp4,35.24,cars_6,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_7/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,34.88,cars_7,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_8/stroke/0/GoPro/GX010016_synced_720p.mp4,33.9,cars_8,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_9/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,33.91,cars_9,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_10/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,33.91,cars_10,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_11/stroke/0/GoPro/GX010018_synced_720p.mp4,32.82,cars_11,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_12/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,32.82,cars_12,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_13/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,32.83,cars_13,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_14/stroke/0/GoPro/GX010020_synced_720p.mp4,37.98,cars_14,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_15/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,37.97,cars_15,0,stroke
/standard/UVA-DSA/NIST EMS Project Data/DataCollection_Spring_2025/CARS/organized/cars_16/stroke/0/GoPro/GX_COMBINED_synced_720p.mp4,37.97,cars_16,0,stroke
