Subject, Trial, GT Depth, Est Depth, GT Cycles, Est Cycles, Depth Error, Frequency Error
ng5, 0, 52.233333333333334, 143.55588025083773, 31.0, 30.5, 91.3225469175044, 0.20732550103662753
ms2, 0, 50.891891891891895, 576.7874076643494, 40.5, 40.0, 525.8955157724575, 0.20915640250987683
ng8, 9, 27.08823529411765, 42.2641535524158, 34.0, 34.5, 15.17591825829815, 0.21702435495538946
ms2, 0, 56.666666666666664, 12.020451936087824, 34.5, 69.5, 44.64621473057884, 14.640948175691378
ng8, 5, 39.88461538461539, 41.366976496332036, 26.5, 27.5, 1.4823611117166493, 0.48859934853420195
ng8, 4, 33.59375, 106.61031526250665, 33.0, 33.0, 73.01656526250665, 0.0
ng8, 7, 34.25, 32.69969507393298, 37.0, 35.5, 1.550304926067021, 0.8105673971780246
ng5, 19, 56.10344827586207, 60.34230689419974, 29.5, 48.5, 4.238858618337666, 9.132176234979973
ng3, 5, 32.7, 784.2122353324768, 30.5, 30.5, 751.5122353324767, 0.0
ng3, 2, 36.51724137931034, 72.0291038557237, 29.5, 29.5, 35.51186247641336, 0.0
ng4, 0, 25.29605263157895, 4.101901973702975, 153.0, 413.0, 21.194150657875973, 96.87435313599669
ng3, 10, 8.277777777777779, 96.4869710873449, 23.0, 13.0, 88.20919330956713, 4.783417486048365
ms1, 2, 41.294117647058826, 9.480425642825695, 102.0, 133.0, 31.813692004233133, 13.925630147242327
ng1, 1, 34.0, 3.280033663474669, 42.5, 105.0, 30.71996633652533, 25.86206896551724
ng4, 0, 26.733333333333334, 2.7735771028245098, 61.0, 73.5, 23.959756230508823, 4.657420823845994
ng5, 19, 55.206896551724135, 2.904366213777578, 29.5, 53.0, 52.30253033794656, 11.29506008010681
